2024-06-30 22:41:02	Justine Apdal	8525.0
2024-06-30 22:41:02	Justine Apdal	8525.0
2024-06-30 22:41:02	Justine Apdal	8525.0
2024-06-30 22:41:02	Justine Apdal	8525.0
2024-07-01 10:29:11	Justine Apdal	4000.0
2024-07-01 11:29:12	Justine	16000.0
2024-07-01 11:32:03	Justine	16000.0
2024-07-01 11:35:32	Justine	16000.0
2024-07-01 11:37:11	Justine	16000.0
2024-07-01 11:38:10	HAS	16000.0
2024-07-01 11:39:54	ASDAD	16000.0
2024-07-01 11:40:24	ASDA	16000.0
2024-07-01 11:46:25	Justine	16000.0
2024-07-01 11:49:30	Justine	10000.0
2024-07-01 11:59:23	ASDA	16000.0
2024-07-01 12:06:25	AKSAL	100000.0
2024-07-01 13:36:53	Tamara	2000.0
2024-07-01 16:31:07	Tamara	16000.0
2024-07-01 16:35:08	TAMRAA	86000.0
2024-07-01 16:43:22	Tamara	272000.0
2024-07-01 16:52:53	Tamara	2000.0
2024-07-01 16:52:53		200000.0
2024-07-01 16:52:53		200000.0
2024-07-01 17:33:06	Rian	3000.0
2024-07-01 17:54:02	Elias	50000.0
2024-07-08 01:17:42	Tamara	1500.0
